movie_id,movie_title,release_year,director,actor
40,Mee Sreyobhilashi,2007,V. Eshwar Reddy,"rajendra_prasad, Naresh, Nassar, brahmanandam, krishna_bhagavan, raghu_babu, Chitram Sreenu"
41,Julayi,2012,Trivikram Srinivas,"rajendra_prasad, allu_arjun, Iliyana, ali, brahmanandam, M.S.Narauana"
42,Aa Okkati Adakku,1992,E. V. V. satyanarayana,"rajendra_prasad, Ramba, Rao Gopal Rao, babu_mohan, allu_ramalingaiaha, brahmanandham"
43,Chettu Kinda Pledaer,1989,Vamsy,"rajendra_prasad, Oorvasi, babu_mohan, gollapudi_maruthi_rao, krishna_bhagavan, Sarath BAbu"
44,Khaidi,1983,A. Kodandarami Reddy,"chiranjeevi, Madhavi, Rao Gopal Rao, Chalapathi Rao, Sumalatha"
45,Sye Raa Narasimha Reddy,2019,Surender Reddy,"chiranjeevi, jagapathi_babu, tamannaah_bhatia, anushka_shetty, nayanthara, Kiccha Sudeep"
46,Indra,2002,B. Gopal,"chiranjeevi, brahmanandam, Sonali Bindre, Aarthi Agrawal, prakash_raj, Shivaji"
47,Shankar Dada MBBS,2004,Jayanth C. Paranjee,"chiranjeevi, srikanth, Sonali Bindrey, ali, venu_madhav, vaishnav_tej_panja"
48,Choodalani Undi,1998,Guna Sekhar,"chiranjeevi, soundarya, prakash_raj, brahmaji, teja_sajja, Anjali Zaveri, brahmanandham"
49,Abhilasha,1983,A. Kodandarami Reddy,"chiranjeevi, Radhika, Rao Gopal Rao, Rallapalli, Gollapudi, ali"
50,Chantabbai,1986,Jandhyala,"chiranjeevi,suhasini"
51,Rudra Veena,1988,K. Viswanath,"chiranjeevi, Shobhana, Gemini Ganeshan, brahmanandam"
52,Gharana Mogudu,1992,K. Raghavendra Rao,"chiranjeevi, Nagma, Rao Gopal Rao, brahmanandam, Aahuthi Prasad, ali"
53,Challange,1984,A. Kodandarami Reddy,"chiranjeevi, vijayshanthi, Rao Gopal Rao, suhashini, Allu Aravind, brahmanandham"
54,Tagore,2003,V. V. Vinayak,"chiranjeevi, shriya_saran, sunil, teja_sajja, ms_narayana, Jyothika"
55,Jagadeka Veerudu Athiloka Sundari,1990,K. Raghavendra Rao,"chiranjeevi, sri_devi, brahmanandam, Tanikella Bharani, Amresh Puri, allu_ramalingaiah"
56,Vijetha,1985,A. Kodandarami Reddy,"chiranjeevi, allu_arjun, bhanu_priya, allu_ramalingaiah, Giribabu"
57,Swayam Krushi,1987,K. Viswanath,"chiranjeevi, vijayshanthi, Rao Gopal Rao, Sumalatha, Allu Aravind, brahmanandham"
58,Muta Mestri,1994,A. Kodandarami Reddy,"chiranjeevi, Meena, Roja, brahmanandham, Kota Srinivasa Rao"
59,Aditya 369,1991,Singeetham Srinivasarao,"nandamuri_balakrishna, Hema, Tinnu Anand, Tarun, brahmanandham, babu_mohan, Tanikella Bharani"
60,Akhanda,2021,Boyapati Srinu,"nandamuri_balakrishna, Pragya Jaiswal, srikanth, jagapathi_babu"
61,Simha,2010,Boyapati Srinu,"nandamuri_balakrishna, Hema, Tinnu Anand, Tarun, brahmanandham, babu_mohan, Tanikella Bharani"
62,Legend,2014,Boyapati Srinu,"nandamuri_balakrishna, Sonal Chauhan, Radhika Apte, jagapathi_babu"
63,Bhagavanth Kesari,2023,Anil Ravipudi,"nandamuri_balakrishna, sreeleela, kajal_aggarwal, Ravi Shankar, raghu_babu, "
64,Nari Nari Naduma Murari,1990,A. Kodandarami Reddy,"nandamuri_balakrishna, Shobana, Nirosha, satyanarayana, allu_ramalingaiah"
65,Samaraimha Reddy,1999,B. Gopal,"nandamuri_balakrishna, Anjala Zaveri, Simran, Puneet Issar, Mukesh Rishi"
66,Narasimha Naidu,2001,B. Gopal,"nandamuri_balakrishna, Simran, Preeti Jhangiani, Asha Saini, Mukesh Rishi"
